"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
124017,"POTASH",77,123622,123898
124020,"PRUNES",77,123688,123898
124023,"RAILWAY TRACK",77,123749,123898
124026,"RAPE SEED",77,123862,123898
124034,"SLAG",77,123752,123898
124036,"ROOFING SLATE",77,124035,123898
124040,"SPONGES",77,140917,123898
124043,"STAVES",77,123915,123898
124045,"STONE BLOCKS",77,123677,123898
124075,"ASPHALT",77,123915,123898
124078,"COPRA",77,123862,123898
124084,"CHAIN",77,152203,123898
124087,"TRAIN OIL",77,140917,123898
124090,"COPPER PYRITES",77,123884,123898
124094,"MUD",77,123752,123898
124096,"IVORY NUTS",77,123862,123898
124099,"QUEBRACHO",77,124050,123898
124102,"FIRE CLAY",77,123892,123898
124106,"ROCK SALT",77,123656,123898
124109,"OCHRE",77,123884,123898
140917,"ANIMAL PRODUCTS",77,123930,123898
151583,"CALICO",77,123851,123898
151584,"CAST IRON PIPES",77,123991,123898
151603,"PEPPERS",77,123693,123898
151623,"COCHINEAL",77,182701,123898
151624,"CLOTH",77,123851,123898
151643,"PIPES",77,123915,123898
151644,"COPPER PIPES",77,151643,123898
151663,"FLANNEL",77,151624,123898
151664,"GLASSWARE",77,152203,123898
151684,"MUSLIN",77,151624,123898
151666,"FLORINS",77,123822,123898
151683,"NANKEEN",77,151624,123898
151703,"ROOFING SHINGLES",77,123915,123898
151704,"POTASSIUM SILICATE",77,123881,123898
151723,"PERFUME",77,152203,123898
151763,"OLIVINE SAND",77,123642,123898
151823,"SULPHATES",77,123881,123898
151824,"SULPHATES",77,123884,123898
151825,"SULPHUR ORE",77,123888,123898
151826,"SULPHURIC ACID",77,123942,123898
151843,"MANGANESE ORE",77,123888,123898
151863,"JEWELS",77,123898,123898
151864,"SPIRITS",77,123716,123898
151865,"GYPSUM",77,123888,123898
151883,"GREASE",77,140917,123898
151925,"WALNUT",77,124050,123898
151923,"COTTON SEED",77,123746,123898
151924,"ZINC OXIDE",77,123881,123898
151943,"LIQUORICE",77,123586,123898
151944,"BRISTLES",77,123899,123898
151963,"MATS",77,123898,123898
151983,"PAPER AND PAPER PRODUCTS",77,123898,123898
152003,"PASSENGERS",77,123873,123898
152023,"CANNED GOODS",77,123586,123898
152043,"CANNED MEAT",77,152023,123898
152044,"SPICES AND SEASONINGS",77,123586,123898
152045,"SEASONINGS",77,152044,123898
152063,"FISH",77,123586,123898
152064,"DRIED FISH",77,152063,123898
152065,"COD",77,152063,123898
152066,"HERRING",77,152063,123898
152067,"PICKLED SALMON",77,184973,123898
152068,"SHELLFISH",77,152063,123898
152069,"WHITING",77,152063,123898
152070,"PILCHARDS",77,152063,123898
152071,"OYSTERS",77,152068,123898
152072,"PRAWNS",77,152068,123898
152084,"SHIP FITTINGS",77,123898,123898
152103,"MILITARY VEHICLES",77,123781,123898
152123,"DEAL",77,124050,123898
152124,"DEALS",77,123622,123898
152143,"ANIMAL SKINS",77,140917,123898
152163,"LIQUORICE",77,123862,123898
152164,"PALM KERNELS",77,123862,123898
152203,"MANUFACTURED GOODS",77,123898,123898
162803,"COD LIVER OIL",77,123728,123898
153383,"BALE GOODS",77,154363,123898
153403,"CHARCOAL",77,124050,123898
153404,"CHARCOAL",77,123956,123898
154263,"CLOTHING",77,123850,123898
154283,"UNIFORMS",77,154263,123898
154343,"SPARS",77,152084,123898
154363,"GOODS",77,124118,123898
154364,"PIECE GOODS",77,151624,123898
154383,"SILVER COIN",77,123822,123898
154384,"GOLD COIN",77,123822,123898
186475,"ROE",77,123586,123898
186526,"RESIN",77,123824,123898
186538,"AMMONIUM NITRATE",77,124108,123898
183504,"HAIR",77,154363,123898
183505,"HUMAN HAIR",77,183504,123898
183506,"ANIMAL HAIR",77,183504,123898
183551,"GRAVESTONES",77,124045,123898
183597,"JEWELLERY",77,152203,123898
192240,"WOOLLEN GOODS",77,123913,123898
192243,"BRISTLES",77,183506,123898
192242,"MOHAIR",77,183506,123898
192244,"COTTON SEED",77,123855,123898
192245,"RAW COTTON",77,123855,123898
192246,"PICKLED SALMON",77,184974,123898
192247,"SALTED MACKEREL",77,123601,123898
192248,"DRIED FISH",77,123601,123898
192249,"LIVE FISH",77,152063,123898
183732,"WEAPONS",77,152203,123898
183733,"WEAPONS",77,123589,123898
183734,"ORNAMENTS",77,152203,123898
183735,"BRONZE",77,123792,123898
183736,"NAVIGATIONAL INSTRUMENTS",77,152203,123898
183737,"CANDLESTICKS",77,123836,123898
183860,"CUTLERY",77,123839,123898
183861,"CROCKERY",77,123839,123898
183862,"COSMETICS",77,152203,123898
183863,"SHELL CASES",77,123768,123898
183864,"BOTTLED GOODS",77,123586,123898
183865,"STATIONERY",77,151983,123898
183866,"BANK NOTES",77,151983,123898
183867,"WATCHES",77,152203,123898
183868,"GEMSTONES",77,123884,123898
183934,"AGRICULTURAL IMPLEMENTS",77,123736,123898
185128,"GARLIC",77,123693,123898
185129,"PEAT",77,123588,123898
185130,"BLANKETS",77,123851,123898
187049,"MIRRORS",77,123836,123898
187050,"HONEY",77,123715,123898
187051,"HONEY",77,123862,123898
181452,"COPROLITES",77,123753,123898
190356,"DRESS ACCESSORIES",77,152203,123898
184966,"PERSONAL EFFECTS",77,124118,123898
184967,"GRAPES",77,123665,123898
184968,"BAGGED GOODS",77,154363,123898
184969,"WOAD",77,123862,123898
184970,"WOAD",77,182701,123898
184972,"STRING",77,152203,123898
184973,"SALMON",77,123601,123898
184974,"SALMON",77,152063,123898
184975,"FULLERS EARTH",77,124114,123898
184976,"FULLERS EARTH",77,123884,123898
184977,"SCULPTURE",77,183734,123898
184978,"MINING MACHINERY",77,123788,123898
184979,"ARMOUR",77,123589,123898
184980,"ARMOUR",77,152203,123898
182165,"TOYS",77,152203,123898
182166,"MUSICAL INSTRUMENTS",77,152203,123898
182167,"PIANOS",77,182166,123898
182168,"BICYCLES",77,123781,123898
182169,"PUMICE",77,123630,123898
182326,"MADDER",77,123859,123898
182672,"CLOCKS",77,123836,123898
182673,"PENS",77,152203,123898
182701,"PIGMENT",77,123898,123898
182700,"CRATES",77,123844,123898
182702,"OCHRE",77,182701,123898
182703,"EARTHENWARE",77,124018,123898
186352,"CINNAMON",77,123661,123898
186353,"NUTMEG",77,123661,123898
186354,"CLOVES",77,123661,123898
203833,"OLIVES",77,123665,123898
203834,"AMPHORAE",77,123844,123898
203835,"SAMIAN WARE",77,124018,123898
195853,"NON DOMESTICATED ANIMALS",77,123585,123898
203842,"CANNED GOODS",77,154363,123898
203843,"BARREL GOODS",77,154363,123898
197111,"CARPET",77,123851,123898
197169,"BAUXITE",77,123885,123898
197170,"GRAPHITE",77,123884,123898
197256,"PAPER PULP",77,151983,123898
197265,"CALCIUM CARBONATE",77,123881,123898
